UF;CBO Ocupação 2002;CNAE 2.0 Classe;Escolaridade após 2005;Idade;Raça Cor;Vl Remun Dezembro Nom;Sexo Trabalhador
MS;317210;85201;                  01;  21;08;1356.99;                  01
MS;317210;85201;                  01;  22;09;1323.89;                  01
MS;317210;85201;                  01;  20;09;1390.08;                  01
MS;212405;72100;                  01;  22;08;4500.00;                  01
MS;317205;47717;                  01;  30;08;5198.29;                  01
MS;317110;43215;                  01;  41;08;2510.75;                  01
MS;212415;47440;                  03;  37;08;5000.00;                  01
MS;212315;38114;                  04;  39;08;3317.31;                  01
MS;212320;84116;                  04;  62;99;2686.94;                  01
MS;212315;38114;                  04;  40;08;4602.43;                  01
MS;212315;38114;                  04;  56;08;5350.48;                  01
MS;212420;62023;                  04;  33;02;2302.91;                  01
MS;212405;01130;                  04;  32;02;3904.99;                  01
MS;212315;38114;                  04;  35;08;3721.07;                  01
MS;142510;46397;                  04;  26;02;3093.78;                  01
MS;142530;77331;                  05;  44;02;3745.30;                  01
MS;317210;62031;                  05;  18;09;1105.67;                  01
MS;317210;62031;                  05;  37;08;1846.22;                  01
MS;317120;60101;                  05;  47;08;2109.68;                  01
MS;142510;47113;                  05;  26;08;3472.06;                  01
MS;317210;62031;                  05;  58;09;1482.00;                  01
MS;317105;84116;                  05;  55;99;1153.69;                  01
MS;142510;47113;                  05;  27;08;2799.22;                  01
MS;317205;62031;                  05;  53;08;1234.00;                  01
MS;142510;47113;                  05;  46;04;3174.25;                  01
MS;212410;61906;                  05;  29;08;2454.41;                  01
MS;317110;47512;                  05;  30;08;3000.00;                  01
MS;317210;85201;                  05;  35;02;1882.65;                  01
MS;317205;59146;                  05;  44;02;2106.13;                  01
MS;212410;47113;                  05;  28;08;1650.95;                  01
MS;212405;62031;                  05;  31;02;5630.56;                  01
MS;317210;62031;                  05;  34;02;2058.00;                  01
MS;142510;47113;                  05;  26;02;3033.10;                  01
MS;317105;95118;                  05;  22;02;2393.75;                  01
MS;317205;45111;                  06;  22;09;1745.00;                  01
MS;317210;62023;                  06;  27;08;3685.50;                  01
MS;317205;46117;                  06;  17;09;840.00;                  01
MS;317110;62091;                  06;  32;02;3766.72;                  01
MS;212405;47717;                  06;  44;02;8065.98;                  01
MS;317210;85996;                  06;  24;09;1850.00;                  01
MS;317210;61906;                  06;  39;08;2144.00;                  01
MS;317110;79112;                  06;  20;02;2900.00;                  01
MS;212420;61906;                  06;  24;02;1190.00;                  01
MS;317210;85996;                  06;  26;09;1144.00;                  01
MS;317210;47318;                  06;  19;09;1365.50;                  01
MS;317205;49302;                  06;  44;08;2391.96;                  01
MS;317210;62031;                  06;  36;02;3849.82;                  01
MS;212405;47512;                  06;  17;08;815.50;                  01
MS;317110;62023;                  06;  31;02;6962.58;                  01
MS;317210;94308;                  06;  22;08;2916.42;                  01
MS;212405;47296;                  06;  17;08;1444.00;                  01
MS;317205;32400;                  06;  27;08;1911.00;                  01
