UF;CBO Ocupação 2002;CNAE 2.0 Classe;Escolaridade após 2005;Idade;Raça Cor;Vl Remun Dezembro Nom;Sexo Trabalhador
RO;212420;61906;                  01;  23;02;1263.65;                  01
RO;212420;61906;                  01;  22;09;1408.06;                  01
RO;317105;61906;                  02;  53;02;5024.58;                  01
RO;212420;61108;                  02;  23;09;1465.19;                  01
RO;317210;43215;                  04;  31;08;1100.00;                  01
RO;317210;61906;                  04;  26;09;1555.89;                  01
RO;142520;60217;                  04;  36;02;1848.29;                  01
RO;317205;86101;                  04;  26;02;2757.36;                  01
RO;212420;61906;                  04;  27;08;1786.45;                  01
RO;212420;61108;                  04;  24;09;1846.77;                  01
RO;142515;22226;                  05;  51;02;2940.00;                  01
RO;317105;61906;                  05;  27;08;2589.08;                  01
RO;317210;61108;                  05;  31;08;1666.40;                  01
RO;317205;84116;                  05;  52;99;1758.59;                  01
RO;317110;46184;                  05;  43;09;6019.90;                  01
RO;317110;84116;                  05;  51;99;3477.70;                  01
RO;317210;77331;                  05;  46;02;6337.77;                  01
RO;317205;84116;                  05;  54;99;3165.75;                  01
RO;142505;61906;                  05;  31;04;4500.75;                  01
RO;317210;61108;                  05;  20;09;1911.62;                  01
RO;317205;18113;                  05;  41;02;2559.90;                  01
RO;317210;61108;                  05;  34;08;1581.57;                  01
RO;212420;85996;                  06;  17;02;1242.00;                  01
RO;317110;62023;                  06;  34;02;2593.75;                  01
RO;317110;62023;                  06;  48;08;2593.75;                  01
RO;142520;84116;                  06;  46;99;1244.08;                  01
RO;317210;61906;                  06;  17;08;1242.00;                  01
RO;317210;61906;                  06;  21;08;1614.60;                  01
RO;317105;61906;                  06;  25;02;2297.10;                  01
RO;212410;61906;                  06;  18;02;1235.00;                  01
RO;142505;61906;                  06;  28;09;2784.50;                  01
RO;317205;49302;                  06;  38;09;1270.50;                  01
RO;317210;42219;                  06;  20;09;1653.00;                  01
RO;212420;62023;                  06;  32;08;6430.00;                  01
RO;212215;84116;                  06;  25;99;1100.00;                  01
RO;212420;62091;                  06;  16;09;550.00;                  01
RO;142530;47512;                  06;  25;08;1910.96;                  01
RO;317105;73114;                  06;  17;09;1128.00;                  01
RO;317110;77390;                  06;  28;09;1100.00;                  01
RO;212410;61108;                  06;  17;08;1350.00;                  01
RO;317210;61108;                  06;  21;08;1603.27;                  01
RO;317210;61906;                  06;  23;08;1796.34;                  01
RO;212420;45111;                  06;  28;08;2500.00;                  01
RO;317105;61108;                  06;  24;08;1818.87;                  01
RO;317105;61108;                  06;  24;08;1967.42;                  01
RO;317105;61108;                  06;  21;08;2140.85;                  01
RO;212410;46494;                  06;  23;02;2872.09;                  01
